#mGo	mLSP	Total	TotGenW	Counts	genWeight
2300	600	32362718	32362718.000	18604	18604.000
2700	300	32362718	32362718.000	19170	19170.000
2650	500	32362718	32362718.000	16227	16227.000
2650	600	32362718	32362718.000	18172	18172.000
2350	100	32362718	32362718.000	16940	16940.000
2800	1300	32362718	32362718.000	14820	14820.000
1700	1050	32362718	32362718.000	21568	21568.000
2700	500	32362718	32362718.000	17608	17608.000
1750	700	32362718	32362718.000	23494	23494.000
2700	700	32362718	32362718.000	14510	14510.000
1650	300	32362718	32362718.000	20399	20399.000
1900	800	32362718	32362718.000	15189	15189.000
1700	100	32362718	32362718.000	14464	14464.000
1550	550	32362718	32362718.000	17862	17862.000
800	550	32362718	32362718.000	134346	134346.000
800	400	32362718	32362718.000	138031	138031.000
1800	850	32362718	32362718.000	18055	18055.000
800	100	32362718	32362718.000	139706	139706.000
1850	400	32362718	32362718.000	17171	17171.000
1600	1000	32362718	32362718.000	18146	18146.000
1600	700	32362718	32362718.000	15445	15445.000
1950	1100	32362718	32362718.000	17919	17919.000
1400	1000	32362718	32362718.000	19880	19880.000
1550	1200	32362718	32362718.000	16888	16888.000
1800	1550	32362718	32362718.000	16405	16405.000
2550	1500	32362718	32362718.000	21306	21306.000
1400	400	32362718	32362718.000	18151	18151.000
1950	1250	32362718	32362718.000	18214	18214.000
1950	200	32362718	32362718.000	15713	15713.000
2300	1000	32362718	32362718.000	21858	21858.000
2300	900	32362718	32362718.000	14427	14427.000
2050	1100	32362718	32362718.000	19244	19244.000
2250	1600	32362718	32362718.000	18803	18803.000
2050	1550	32362718	32362718.000	15199	15199.000
2250	1350	32362718	32362718.000	16248	16248.000
2350	200	32362718	32362718.000	17808	17808.000
1700	800	32362718	32362718.000	24029	24029.000
1750	1400	32362718	32362718.000	21651	21651.000
2800	700	32362718	32362718.000	17080	17080.000
2650	800	32362718	32362718.000	17171	17171.000
2600	300	32362718	32362718.000	17760	17760.000
2550	1200	32362718	32362718.000	15756	15756.000
2000	1600	32362718	32362718.000	20725	20725.000
1700	1000	32362718	32362718.000	15402	15402.000
1250	800	32362718	32362718.000	46224	46224.000
2200	1250	32362718	32362718.000	22778	22778.000
